"filename", "language", "JavaScript React", "JavaScript", "CSS", "comment", "blank", "total"
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/updateEmail/updateEmail.css", "CSS", 0, 0, 23, 0, 4, 27
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/usersBrowser/UsersBrowser.jsx", "JavaScript React", 70, 0, 0, 0, 10, 80
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/components/usersBrowser/usersBrowser.css", "CSS", 0, 0, 49, 0, 8, 57
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/access/AccessPopup.jsx", "JavaScript React", 43, 0, 0, 0, 4, 47
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/access/accessPopup.css", "CSS", 0, 0, 75, 0, 12, 87
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/footer/Footer.jsx", "JavaScript React", 31, 0, 0, 0, 2, 33
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/footer/footer.css", "CSS", 0, 0, 49, 0, 9, 58
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/homePage/homePage.css", "CSS", 0, 0, 39, 0, 5, 44
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/homePage/homePage.jsx", "JavaScript React", 16, 0, 0, 0, 2, 18
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/index.js", "JavaScript", 0, 13, 0, 0, 0, 13
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/profile/Profile.jsx", "JavaScript React", 215, 0, 0, 0, 13, 228
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/profile/profile.css", "CSS", 0, 0, 105, 1, 17, 123
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/Review.jsx", "JavaScript React", 14, 0, 0, 0, 4, 18
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/home/ReviewHome.jsx", "JavaScript React", 57, 0, 0, 0, 5, 62
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/home/reviewHome.css", "CSS", 0, 0, 16, 0, 3, 19
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/review.css", "CSS", 0, 0, 16, 0, 3, 19
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/screening/Screening.jsx", "JavaScript React", 66, 0, 0, 2, 9, 77
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/screening/screening.css", "CSS", 0, 0, 50, 0, 10, 60
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/screening/settings/ScreeningSettings.jsx", "JavaScript React", 22, 0, 0, 0, 4, 26
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/screening/settings/screeningSettings.css", "CSS", 0, 0, 22, 0, 4, 26
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/settings/ReviewSettings.jsx", "JavaScript React", 78, 0, 0, 6, 6, 90
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/settings/reviewSettings.css", "CSS", 0, 0, 23, 0, 5, 28
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/studies/studiesDisplay/StudiesDisplay.jsx", "JavaScript React", 23, 0, 0, 0, 6, 29
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/studies/studiesDisplay/foldersView/FoldersView.jsx", "JavaScript React", 55, 0, 0, 12, 10, 77
"/Users/vdanny/Documents/Studia/INŻYNIER/slr_spot_app/slr_spot/slr_spot_frontend/src/containers/review/studies/studiesDisplay/foldersView/foldersView.css", "CSS", 0, 0, 0, 0, 1, 1
